"location"	"Otu00129"	"Otu00144"	"Otu00340"	"Otu00143"	"Otu00680"	"Otu00152"	"Otu00138"
"1"	"0"	2.10947444989998	0.178820391586349	1.19415651330545	0.978965872582894	0	0	0
"2"	"1"	0.00377269003578666	0.00107791143879619	0.0102401586685638	0.00161686715819428	0	0.00161686715819428	0.0835381365067046
"6"	"0"	0.140383715489003	0.589611605053814	0.458586803930744	0.0748713149274684	0.233972859148339	0.112306972391203	0
"7"	"1"	0	0	0	0	0	0	0.00327687997334804
"11"	"0"	0.0117975539738094	0.00786503598253962	0	0	0	0.0550552518777773	0.0235951079476189
"12"	"1"	0.00444774848617703	0.0076247116905892	0.00508314112705947	0.0019061779226473	0	0.00127078528176487	0.0343112026076514
"16"	"1"	0	0	0	0	0	0	0.00558862156649063
"20"	"0"	1.47987644645245	0.898990364667374	2.9505324789083	0.354985938868655	0.281222626895948	1.39228251348486	0.0138306209948827
"21"	"1"	0	0	0	0	0	0	0.00532818669966196
"25"	"0"	0.0914765389582436	0.285191562634524	0.274429616874731	0	0	0	0.00538097287989669
"26"	"1"	0	0	0	0	0	0	0.15342503966386
"30"	"0"	1.0752688172043	0.268817204301075	3.2258064516129	1.88172043010753	1.34408602150538	0	0
"31"	"1"	0.00447515394529572	0.00268509236717743	0	0	0	0	0.00626521552341401
"35"	"0"	2.02391629297459	0.269058295964126	1.08221225710015	2.12556053811659	0.316890881913303	0.322869955156951	0
"36"	"1"	0	0	0	0	0	0	0.0340566313126399
"40"	"0"	1.16361071932299	0.581805359661495	0.352609308885755	0.899153737658674	0.176304654442877	0.0528913963328632	0.105782792665726
"41"	"1"	0	0	0.00165689100970938	0	0	0	0.0198826921165126
"45"	"0"	0.12818321654418	0.324730815245257	0.444368484019826	0	0	0	0
"46"	"1"	0	0	0	0	0	0	0.034008303694152
"50"	"0"	0.0646412411118294	0	0	0	0	0	0.0215470803706098
"51"	"1"	0	0.000496568710212432	0.00198627484084973	0	0.000496568710212432	0	0.118183353030559
"55"	"0"	0.409171620474021	0.15826449471165	0.540415347795877	0.297228441287733	0.0231606577626805	0.100362850304949	0
"56"	"1"	0	0	0	0	0	0	0.0975050676975974
"60"	"0"	0.0949918201488205	0.00527732334160114	0.453849807377698	0	0	0.00527732334160114	0.110823790173624
"61"	"1"	0.00419832906503212	0	0.0209916453251606	0	0	0	0.071371594105546
"64"	"0"	0.604630585459372	0.317062380179914	0.2064592243032	0.1548444182274	0.0147470874502286	0.221206311753429	0.0442412623506857
"65"	"1"	0	0	0	0	0	0	0.0710745893738621
"69"	"0"	2.73938997465042	2.13835963692861	1.91757298225529	0.547877994930084	0.114481969089868	2.89066971951918	0.0163545670128383
"70"	"1"	0	0	0.00640840783107437	0.00160210195776859	0	0.00160210195776859	0.451792752090743
"74"	"0"	0.0333322751658678	0.00793625599187327	0.0238087679756198	0.00158725119837465	0	0.00158725119837465	0
"75"	"1"	0	0	0	0	0	0	0.00117778693834285
"79"	"0"	0	0	0	0.0137598899208806	0	0	0
"80"	"1"	0	0	0	0	0	0	0.001070262749505
"84"	"0"	1.32356416922713	2.83620893405814	5.22335145355708	0.236350744504845	0.212715670054361	0.189080595603876	0
"85"	"1"	0	0	0	0	0	0	0.00744557286237603
"89"	"0"	0	0	0	0	0.0335570469798658	0	0.0167785234899329
"90"	"1"	0	0	0	0.00172060771864623	0	0.0068824308745849	0.00172060771864623
"94"	"0"	0.0157894736842105	0.0263157894736842	0.00263157894736842	0	0	0	0
"95"	"1"	0	0	0	0	0	0	0.00718390804597701
